"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.69b9174a05fa2db6d0a8b4ff","average","7","extreme",29,8.22274220032841,3.32068965517241
"average.69b9174a05fa2db6d0a8b4ff","average","7","middle",38,2.87200501253133,0.805263157894737
"average.69bb5d0e58b8b38af6ea30eb","average","3","extreme",35,7.76447619047619,-0.714285714285714
"average.69bb5d0e58b8b38af6ea30eb","average","3","middle",36,2.18349206349206,-0.191666666666667
"average.69bb5d0e58b8b38af6ea30eb","average","5","extreme",39,7.8939072039072,-0.0102564102564102
"average.69bb5d0e58b8b38af6ea30eb","average","5","middle",31,2.6336559139785,0.174193548387097
"average.69bb5d0e58b8b38af6ea30eb","average","7","extreme",34,8.15865546218487,3.1735294117647
"average.69bb5d0e58b8b38af6ea30eb","average","7","middle",35,3.23266666666667,1.25428571428571
"average.69bc4a5a75e354d36da3b4df","average","3","extreme",37,8.23343295218295,-0.545945945945946
"average.69bc4a5a75e354d36da3b4df","average","3","middle",32,2.88536658653846,-1.940625
"average.69bc4a5a75e354d36da3b4df","average","5","extreme",38,8.1078947368421,0.713157894736843
"average.69bc4a5a75e354d36da3b4df","average","5","middle",30,2.54157051282051,1.44333333333333
"average.69bc4a5a75e354d36da3b4df","average","7","extreme",30,7.7136858974359,0.453333333333333
"average.69bc4a5a75e354d36da3b4df","average","7","middle",41,2.49203799249531,2.15121951219512
"average.69bdd52e962f286c3349b154","average","3","extreme",39,7.47836236090953,2.53333333333333
"average.69bdd52e962f286c3349b154","average","3","middle",30,2.49569182389937,0.676666666666667
"average.69bdd52e962f286c3349b154","average","5","extreme",38,8.07169811320755,3.35
"average.69bdd52e962f286c3349b154","average","5","middle",34,2.81140399556049,1.12647058823529
"average.69bdd52e962f286c3349b154","average","7","extreme",35,8.01874663072776,3.82285714285714
"average.69bdd52e962f286c3349b154","average","7","middle",36,2.60961740041929,0.716666666666666
"average.69c07518ef8c7765906f4e89","average","3","extreme",37,7.96282484407484,-0.762162162162162
"average.69c07518ef8c7765906f4e89","average","3","middle",32,2.346875,0.409375
"average.69c07518ef8c7765906f4e89","average","5","extreme",35,7.97693681318681,0.42
"average.69c07518ef8c7765906f4e89","average","5","middle",37,2.62168659043659,0.743243243243244
"average.69c07518ef8c7765906f4e89","average","7","extreme",39,7.69411982248521,3.04871794871795
"average.69c07518ef8c7765906f4e89","average","7","middle",28,2.9084478021978,1.21785714285714
"average.69c19681729c357296460f3d","average","3","extreme",41,7.88854467691596,-3.54634146341463
"average.69c19681729c357296460f3d","average","3","middle",31,2.48085919584161,-1.66129032258065
"average.69c19681729c357296460f3d","average","5","extreme",32,7.94243187203791,-0.509375
"average.69c19681729c357296460f3d","average","5","middle",39,2.72338072669826,-0.5
"average.69c19681729c357296460f3d","average","7","extreme",38,7.94951359441257,-0.731578947368421
"average.69c19681729c357296460f3d","average","7","middle",30,2.48175355450237,1.41
"average.69c1aaedff8c0b25b7df1d32","average","3","extreme",37,7.92489531785306,-3.54324324324324
"average.69c1aaedff8c0b25b7df1d32","average","3","middle",33,2.57652582159624,0.915151515151515
"average.69c1aaedff8c0b25b7df1d32","average","5","extreme",36,8.22734741784038,-4.41944444444445
"average.69c1aaedff8c0b25b7df1d32","average","5","middle",36,2.45598591549296,-0.175
"average.69c1aaedff8c0b25b7df1d32","average","7","extreme",39,7.77045864933189,-1.74871794871795
"average.69c1aaedff8c0b25b7df1d32","average","7","middle",32,2.89590669014085,-0.621875
"experience.558955ebfdf99b6bd06016c9","experience","3","extreme",46,8.40503105590062,-2.46304347826087
"experience.558955ebfdf99b6bd06016c9","experience","3","middle",22,3.45766233766234,0.681818181818182
"experience.558955ebfdf99b6bd06016c9","experience","5","extreme",40,7.94359523809524,-0.7475
